   850 MB TRADE WIND INDEX(135E-180W)5N 5S  WEST PACIFIC                        
                    ORIGINAL        DATA                                        
                                                                                
YEAR   JAN   FEB   MAR   APR   MAY   JUN   JUL   AUG   SEP   OCT   NOV   DEC    
1979  -1.6   1.2   2.6   2.1   3.4   4.5   2.6   3.1   3.3  -0.8   1.0  -2.5
1980   0.3   1.9  -2.1  -1.1  -0.0   0.5   1.2   2.0   1.4   1.2  -0.7   0.4
1981   1.1  -1.0  -0.1  -0.9   4.5   2.5   3.8   4.8   3.6   2.4   2.4  -1.6
1982   1.7   0.8  -0.7   0.8   1.1   0.4  -1.5  -2.5  -2.0  -2.4  -5.0   0.9
1983   0.1   1.9   1.0   2.4   2.5   2.6   3.8   4.8   4.2   2.6   0.4   1.3
1984   4.8   6.4   5.4   6.8   6.3   3.8   4.2   3.6   4.1   1.5  -0.1  -0.7
1985  -0.8   3.7  -1.0   3.3   3.7   3.0   3.5   4.9   4.0   2.2  -0.6  -0.6
1986   2.0   0.8   5.0   1.0   0.5   3.3   2.3   2.7   0.8   1.0  -2.7  -5.2
1987   0.7  -2.2   0.2  -1.1  -0.3   2.3   0.3   2.2   1.8   1.3  -0.3  -1.7
1988   0.5   1.0   4.7   2.6   4.6   3.8   4.6   6.4   6.8   3.0   3.9   1.1
1989   3.7   3.0   4.4   3.3   3.6   3.6   5.2   4.9   4.9   2.9  -2.3  -1.5
1990  -1.1  -2.8  -2.5   1.2   3.2   2.5   2.4   3.6   3.5   3.0  -3.4  -3.3
1991   0.8   1.6  -1.1   0.9   1.9   2.8   2.0   2.2   0.1   1.0  -4.2  -2.1
1992  -2.9   0.6   1.0   0.2   2.5   2.8   2.6   2.9   2.5   1.6  -1.7  -1.7
1993   0.3  -3.0  -1.1  -1.3   2.5   2.0   2.7   2.0   3.4   1.1   1.8  -0.6
1994   1.6   2.7   3.0   2.6   2.1   3.2   1.5   0.9   1.1  -0.0  -2.6  -4.4
1995   0.3   2.0   3.1   0.3   2.2   5.4   5.2   6.1   4.5   3.8   3.4   1.2
1996   3.0   3.5   4.0   5.2   3.6   5.6   4.6   5.9   3.9   4.1   1.8  -1.5
1997   0.2   3.2  -5.2  -2.0  -0.9  -0.1   1.7  -2.4  -1.8  -4.1   0.5  -0.8
1998   1.5   1.9   1.4   4.6   5.3   6.3   6.9   5.3   6.6   4.7   3.6   2.6
1999   7.3   3.9   8.1   7.0   6.1   4.8   4.8   5.8   5.2   6.1   2.8   4.2
2000   3.5   7.3   6.2   7.2   5.9   6.2   4.4   4.2   4.5   3.2   2.6   1.9
2001   6.4   5.8   5.2   5.2   3.6   3.0   3.6   3.3   4.0   1.2   0.9  -3.1
2002   2.1  -0.1   1.9   2.2   1.7   3.9   1.1   0.8  -1.2  -3.0   0.1  -0.8
2003   0.8   2.3   3.4   2.1   3.1   3.3   3.9   3.7   3.4   2.1   0.2   2.0
2004   1.4   2.6   1.7   1.0   4.5   1.1   2.9   1.7   2.9  -0.5  -0.4   0.1
2005   0.9  -1.8   2.4   1.7   3.9   5.3   4.1   3.3   3.0   3.5   2.0   3.9
2006   4.1   3.5   3.3   4.5   2.6   3.9   1.4   1.4   1.9  -0.9  -0.3   2.0
2007   1.5   2.9   2.9   4.4   3.6   6.4   4.9   4.9   4.7   3.7   1.9   6.1
2008   2.8   6.5   6.8   6.0   5.1   6.2   6.6   6.8   5.2   5.6   6.1   3.6
2009   4.7   7.1   2.9   4.3   3.8   3.2   2.8   3.0   1.5  -0.3   1.6  -0.6
2010   0.9   0.7   2.5   4.0   6.7   6.5   7.6   7.9   8.2   5.8   5.4   5.3
2011   4.4   4.3   6.1   6.2   4.8   5.8   5.3   5.4   6.7   4.0   3.1   5.7
2012   4.1   6.2   5.2   3.8   4.4   4.6   5.4   4.9   2.5   3.3   2.5   2.8
2013   1.5   4.7   3.2   6.2   6.4   4.9   5.0   4.8   4.0   1.6   3.8   3.9
2014   1.2  -0.1   0.9   2.2   4.0   4.2   3.8   3.8   3.4   2.0   2.6   2.4
2015   1.3   1.1  -2.1   1.3   0.4   2.3  -0.1   0.8   0.1  -0.7   0.6  -0.0
2016   0.9   2.4   2.6   3.1   5.0   3.7   4.1   3.8   5.0   3.6   2.6   1.8
2017   3.4   3.7   5.9   3.3   5.7   4.6   5.7   5.3   6.1   3.3   2.5   1.3
2018   5.1  -0.7   0.4   2.0   4.0   4.1   4.4   2.5   0.6   1.3  -0.0   0.6
2019  -0.6  -1.7   1.7   4.3   0.2   4.8   2.4   2.8   1.4   2.5  -0.6  -1.0
2020  -1.0  -0.3   3.2   3.7   5.3   4.8   6.0   4.8   5.8   4.3   4.7   4.5
2021   6.7   3.2   5.3   2.3   5.4   5.2   5.8   5.3   7.3   4.2   5.9   0.7
2022   2.0   5.8   5.8   5.3   5.7   6.3   8.0   6.5   6.2   5.6   3.7   4.4
2023   5.1   3.8   2.7   3.3   2.3   4.5   3.8   2.9   3.3   0.4  -0.5   0.5
2024   3.2   2.4   4.6   5.5   4.5   5.1   5.2   5.9   4.4   4.0   4.4   5.5
2025   6.0   5.5   8.1   5.7   5.8   5.0   5.7   5.7   5.6   5.6   2.3   3.1
2026  -0.0   3.5-999.9-999.9-999.9-999.9-999.9-999.9-999.9-999.9-999.9-999.9
2027-999.9-999.9-999.9-999.9-999.9-999.9-999.9-999.9-999.9-999.9-999.9-999.9
2028-999.9-999.9-999.9-999.9-999.9-999.9-999.9-999.9-999.9-999.9-999.9-999.9
   850 MB TRADE WIND INDEX(135E-180W)5N 5S  WEST PACIFIC                        
                        ANOMALY                                                 
                                                                                
YEAR   JAN   FEB   MAR   APR   MAY   JUN   JUL   AUG   SEP   OCT   NOV   DEC    
1979  -3.4  -1.0   0.3  -0.6   0.1   0.8  -0.9  -0.4   0.1  -2.7   0.4  -2.7
1980  -1.5  -0.3  -4.4  -3.8  -3.3  -3.2  -2.3  -1.5  -1.8  -0.7  -1.3   0.2
1981  -0.7  -3.2  -2.4  -3.6   1.2  -1.2   0.3   1.3   0.4   0.5   1.8  -1.8
1982  -0.1  -1.4  -3.0  -1.9  -2.2  -3.3  -5.0  -6.0  -5.2  -4.3  -5.6   0.7
1983  -1.7  -0.3  -1.3  -0.2  -0.8  -1.1   0.3   1.3   1.0   0.7  -0.2   1.1
1984   3.0   4.2   3.1   4.2   3.0   0.1   0.7   0.1   0.9  -0.4  -0.7  -0.9
1985  -2.6   1.5  -3.3   0.6   0.4  -0.7   0.0   1.4   0.8   0.3  -1.2  -0.8
1986   0.2  -1.4   2.7  -1.7  -2.8  -0.4  -1.2  -0.8  -2.4  -0.9  -3.3  -5.4
1987  -1.1  -4.4  -2.1  -3.8  -3.6  -1.4  -3.2  -1.3  -1.4  -0.6  -0.9  -1.9
1988  -1.3  -1.2   2.4  -0.1   1.3   0.1   1.1   2.9   3.6   1.1   3.3   0.9
1989   1.9   0.8   2.1   0.6   0.3  -0.1   1.7   1.4   1.7   1.0  -2.9  -1.7
1990  -2.9  -5.0  -4.8  -1.5  -0.1  -1.2  -1.1   0.1   0.3   1.1  -4.0  -3.5
1991  -1.0  -0.6  -3.4  -1.8  -1.4  -0.9  -1.5  -1.3  -3.1  -0.9  -4.8  -2.3
